Date,Combined Economy Score,InvertandBearFinal
2013-11-04,73.16477988509939,0.0
2013-11-05,72.90878172469597,0.0
2013-11-06,72.92547161297261,0.0
2013-11-07,72.94765062006026,0.0
2013-11-08,72.44232407312397,0.0
2013-11-11,72.29997787044444,0.0
2013-11-12,72.148347144731,0.0
2013-11-13,72.27936894914282,0.0
2013-11-14,74.02907502166595,0.0
2013-11-15,73.98158919879883,0.0
2013-11-18,74.0374941430855,0.0
2013-11-19,73.91774728542057,0.0
2013-11-20,73.79753063830788,0.0
2013-11-21,73.77575960626699,0.0
2013-11-22,73.83643662231277,0.0
2013-11-25,73.82340614657677,0.0
2013-11-26,79.97780863003216,0.0
2013-11-27,79.78811259616776,0.0
2013-11-28,79.76258324854459,0.0
2013-11-29,79.70411918805547,0.0
2013-12-02,77.96164540045224,0.0
2013-12-03,78.04774049819935,0.0
2013-12-04,77.75147643696847,0.0
2013-12-05,77.6090189683671,0.0
2013-12-06,77.42774823736237,0.0
2013-12-09,77.40258977614532,0.0
2013-12-10,77.54097985715929,0.0
2013-12-11,77.30242572072501,0.0
2013-12-12,76.8848818046838,0.0
2013-12-13,76.87546128996765,0.0
2013-12-16,76.69523522234022,0.0
2013-12-17,73.79224550702025,0.0
2013-12-18,74.13626737448277,0.0
2013-12-19,73.86853684076486,0.0
2013-12-20,73.96026941188542,0.0
2013-12-23,73.70708998816873,0.0
2013-12-24,73.41230947256244,0.0
2013-12-25,73.34301552901383,0.0
2013-12-26,73.23486505298112,0.0
2013-12-27,73.0614262065862,0.0
2013-12-30,70.51067967406503,0.0
2013-12-31,70.24341892979491,0.0
2014-01-01,70.11212514201858,0.0
2014-01-02,70.07111746837884,0.0
2014-01-03,69.9086568596059,0.0
2014-01-06,69.95658774616041,0.0
2014-01-07,69.96143399520072,0.0
2014-01-08,69.65520545252468,0.0
2014-01-09,69.76780656543116,0.0
2014-01-10,70.18572754931863,0.0
2014-01-13,70.23430130564378,0.0
2014-01-14,70.09169548247995,0.0
2014-01-15,70.03409682360518,0.0
2014-01-16,66.22865394196616,0.0
2014-01-17,66.23927365606221,0.0
2014-01-20,66.20645020911812,0.0
2014-01-21,66.18503770060319,0.0
2014-01-22,66.83824283911072,0.0
2014-01-23,67.04141441239848,0.0
2014-01-24,67.1942814261324,0.0
2014-01-27,67.05611387696214,0.0
2014-01-28,67.1648824970051,0.0
2014-01-29,67.51560504553868,0.0
2014-01-30,67.48024720815258,0.0
